OBJECTID,STATE_NAME,ORIG_FID,lat,lon
107,Massachusetts,22,42.886877501636114,-73.498839975778836
108,Massachusetts,22,42.886877501636114,-69.917779808693638
109,Massachusetts,22,41.238279685380277,-69.917779808693638
110,Massachusetts,22,41.238279685380277,-73.498839975778836
111,Michigan,23,41.697494779788720,-90.408199814619735
112,Michigan,23,48.173795320067349,-90.408199814619735
113,Michigan,23,48.173795320067349,-82.419835821368949
114,Michigan,23,41.697494779788720,-82.419835821368949
115,Michigan,23,41.697494779788720,-90.408199814619735
116,Minnesota,24,43.498102122147721,-97.229436411992708
117,Minnesota,24,49.371730111930574,-97.229436411992708
118,Minnesota,24,49.371730111930574,-89.530673110141663
119,Minnesota,24,43.498102122147721,-89.530673110141663
120,Minnesota,24,43.498102122147721,-97.229436411992708
121,Mississippi,25,30.194935284621923,-91.643682381238804
122,Mississippi,25,35.005041574434863,-91.643682381238804
123,Mississippi,25,35.005041574434863,-88.090468697980555
124,Mississippi,25,30.194935284621923,-88.090468697980555
125,Mississippi,25,30.194935284621923,-91.643682381238804
126,Missouri,26,35.989656397388124,-95.767479587179125
127,Missouri,26,40.609784374865811,-95.767479587179125
128,Missouri,26,40.609784374865811,-89.105033819462633
129,Missouri,26,35.989656397388124,-89.105033819462633
130,Missouri,26,35.989656397388124,-95.767479587179125
131,Montana,27,44.353639720698283,-116.063531302828200
132,Montana,27,49.000026700358582,-116.063531302828200
133,Montana,27,49.000026700358582,-104.043072319729280
134,Montana,27,44.353639720698283,-104.043072319729280
135,Montana,27,44.353639720698283,-116.063531302828200
136,Nebraska,28,39.992594986063985,-104.056219408254120
137,Nebraska,28,43.003062306260063,-104.056219408254120
138,Nebraska,28,43.003062306260063,-95.308697211010653
139,Nebraska,28,39.992594986063985,-95.308697211010653
140,Nebraska,28,39.992594986063985,-104.056219408254120
141,Nevada,29,34.998914399711282,-119.996324684114950
142,Nevada,29,41.996637102341801,-119.996324684114950
143,Nevada,29,41.996637102341801,-114.037392121875070
144,Nevada,29,34.998914399711282,-114.037392121875070
145,Nevada,29,34.998914399711282,-119.996324684114950
146,New Hampshire,30,42.698603491074437,-72.553428481798491
147,New Hampshire,30,45.301469220892777,-72.553428481798491
148,New Hampshire,30,45.301469220892777,-70.734138893274462
149,New Hampshire,30,42.698603491074437,-70.734138893274462
150,New Hampshire,30,42.698603491074437,-72.553428481798491
151,New Jersey,31,38.956682404302803,-75.570234181383071
152,New Jersey,31,41.350573125843503,-75.570234181383071
153,New Jersey,31,41.350573125843503,-73.896148311316736
154,New Jersey,31,38.956682404302803,-73.896148311316736
155,New Jersey,31,38.956682404302803,-75.570234181383071
156,New Mexico,32,31.343453011428341,-109.051346208040020
157,New Mexico,32,36.999760206630583,-109.051346208040020
158,New Mexico,32,36.999760206630583,-102.997400996850460
159,New Mexico,32,31.343453011428341,-102.997400996850460
160,New Mexico,32,31.343453011428341,-109.051346208040020
161,New York,33,40.506003322487224,-79.763235005172362
162,New York,33,45.006138794973708,-79.763235005172362
163,New York,33,45.006138794973708,-71.869986699430967
164,New York,33,40.506003322487224,-71.869986699430967
165,New York,33,40.506003322487224,-79.763235005172362
166,North Carolina,34,33.882164618771945,-84.323773520775006
167,North Carolina,34,36.589767807807817,-84.323773520775006
168,North Carolina,34,36.589767807807817,-75.456580418597767
169,North Carolina,34,33.882164618771945,-75.456580418597767
170,North Carolina,34,33.882164618771945,-84.323773520775006
171,North Dakota,35,45.930822198619090,-104.062991076850780
172,North Dakota,35,49.000026700358582,-104.062991076850780
173,North Dakota,35,49.000026700358582,-96.551931009636348
174,North Dakota,35,45.930822198619090,-96.551931009636348
175,North Dakota,35,45.930822198619090,-104.062991076850780
176,Ohio,36,38.400511025130101,-84.812070522608622
177,Ohio,36,41.986872092650060,-84.812070522608622
178,Ohio,36,41.986872092650060,-80.519996184186752
179,Ohio,36,38.400511025130101,-80.519996184186752
180,Ohio,36,38.400511025130101,-84.812070522608622
181,Oklahoma,37,33.621136600957911,-102.997709489997120
182,Oklahoma,37,37.001478080404183,-102.997709489997120
183,Oklahoma,37,37.001478080404183,-94.428552019887306
184,Oklahoma,37,33.621136600957911,-94.428552019887306
185,Oklahoma,37,33.621136600957911,-102.997709489997120
186,Oregon,38,41.987672205770245,-124.559616895389540
187,Oregon,38,46.236091591998630,-124.559616895389540
188,Oregon,38,46.236091591998630,-116.470418774889250
189,Oregon,38,41.987672205770245,-116.470418774889250
190,Oregon,38,41.987672205770245,-124.559616895389540
191,Pennsylvania,39,39.719313602867956,-80.526045185985097
192,Pennsylvania,39,42.267327092100757,-80.526045185985097
193,Pennsylvania,39,42.267327092100757,-74.700062408140880
194,Pennsylvania,39,39.719313602867956,-74.700062408140880
195,Pennsylvania,39,39.719313602867956,-80.526045185985097
196,Rhode Island,40,41.322769690709876,-71.866678389292503
197,Rhode Island,40,42.013713319498684,-71.866678389292503
198,Rhode Island,40,42.013713319498684,-71.117132684354345
199,Rhode Island,40,41.322769690709876,-71.117132684354345
200,Rhode Island,40,41.322769690709876,-71.866678389292503
201,South Carolina,41,32.068173806807479,-83.350685200588899
202,South Carolina,41,35.208356576952987,-83.350685200588899
203,South Carolina,41,35.208356576952987,-78.579453490713931
204,South Carolina,41,32.068173806807479,-78.579453490713931
205,South Carolina,41,32.068173806807479,-83.350685200588899
206,South Dakota,42,42.488459213664370,-104.061036199960400
207,South Dakota,42,45.943547290660113,-104.061036199960400
208,South Dakota,42,45.943547290660113,-96.439394711538611
209,South Dakota,42,42.488459213664370,-96.439394711538611
210,South Dakota,42,42.488459213664370,-104.061036199960400
211,Tennessee,43,34.988759823729353,-90.305448315142968
212,Tennessee,43,36.679683198773084,-90.305448315142968
213,Tennessee,43,36.679683198773084,-81.652272205230290
214,Tennessee,43,34.988759823729353,-81.652272205230290
215,Tennessee,43,34.988759823729353,-90.305448315142968
216,Texas,44,25.845557389408256,-106.650061910069160
217,Texas,44,36.493912721436196,-106.650061910069160
218,Texas,44,36.493912721436196,-93.507388908474695
219,Texas,44,25.845557389408256,-93.507388908474695
220,Texas,44,25.845557389408256,-106.650061910069160
221,Utah,45,36.991746276712817,-114.047273017773550
222,Utah,45,42.002300578622496,-114.047273017773550
223,Utah,45,42.002300578622496,-109.043206394485880
224,Utah,45,36.991746276712817,-109.043206394485880
225,Utah,45,36.991746276712817,-114.047273017773550
226,Vermont,46,42.725852519130903,-73.436000691749143
227,Vermont,46,45.013351678639800,-73.436000691749143
228,Vermont,46,45.013351678639800,-71.505372307910122
